"[count]","uHashT [GB]","cHashT [GB]","iHashT_u8h [GB]","iHashT_u8 [GB]","iHashT_u16 [GB]","dHashT [GB]","fHashT [GB]",
"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
"100000.000000","0.005466","0.007755","0.000107","0.000126","0.000107","0.000000","0.000000",
"200000.000000","0.009354","0.015682","0.000107","0.000126","0.000107","0.000000","0.000000",
"300000.000000","0.015007","0.031307","0.000107","0.000126","0.000107","0.000000","0.000000",
"400000.000000","0.017406","0.031307","0.000107","0.000126","0.000107","0.000000","0.000000",
"500000.000000","0.020416","0.031307","0.000107","0.000126","0.000107","0.000000","0.000000",
"600000.000000","0.028927","0.062561","0.046852","0.000126","0.000107","0.000000","0.046879",
"700000.000000","0.030411","0.062561","0.046989","0.000126","0.000107","0.000000","0.046879",
"800000.000000","0.033352","0.062561","0.046989","0.000126","0.000107","0.000000","0.046879",
"900000.000000","0.036339","0.062561","0.046989","0.046940","0.000107","0.000000","0.046879",
"1000000.000000","0.039345","0.062561","0.046989","0.047009","0.000107","0.000000","0.046879",
"1100000.000000","0.057007","0.125065","0.140568","0.047009","0.046860","0.062504","0.140633",
"1200000.000000","0.053307","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1300000.000000","0.056328","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1400000.000000","0.059315","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1500000.000000","0.062344","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1600000.000000","0.065319","0.093811","0.093864","0.047009","0.046989","0.062504","0.093754",
"1700000.000000","0.068302","0.093811","0.093864","0.140594","0.046989","0.062504","0.093754",
"1800000.000000","0.071259","0.093811","0.093864","0.093884","0.046989","0.062504","0.093754",
"1900000.000000","0.074234","0.093811","0.093864","0.093884","0.046989","0.062504","0.093754",
"2000000.000000","0.077263","0.094315","0.093864","0.093884","0.046989","0.062504","0.093754",
"2100000.000000","0.080200","0.242031","0.281269","0.093884","0.140732","0.187450","0.281258",
"2200000.000000","0.114033","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2300000.000000","0.102650","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2400000.000000","0.105625","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2500000.000000","0.108624","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2600000.000000","0.111599","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2700000.000000","0.114590","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2800000.000000","0.117554","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"2900000.000000","0.120541","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3000000.000000","0.123531","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3100000.000000","0.126514","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3200000.000000","0.129478","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3300000.000000","0.132473","0.179527","0.187614","0.093884","0.093864","0.125004","0.187504",
"3400000.000000","0.135445","0.179527","0.187614","0.281158","0.093864","0.125004","0.187504",
"3500000.000000","0.138424","0.179527","0.187614","0.187634","0.093864","0.125004","0.187504",
"3600000.000000","0.141407","0.179527","0.187614","0.187634","0.093864","0.125004","0.187504",
"3700000.000000","0.144398","0.180595","0.187614","0.187634","0.093864","0.125004","0.187504",
"3800000.000000","0.147362","0.183243","0.187614","0.187634","0.093864","0.125004","0.187504",
"3900000.000000","0.150345","0.185932","0.187614","0.187634","0.093864","0.125004","0.187504",
"4000000.000000","0.153339","0.188644","0.187614","0.187634","0.093864","0.125004","0.187504",
"4100000.000000","0.156303","0.191422","0.187614","0.187634","0.093864","0.125004","0.187504",
"4200000.000000","0.159294","0.484058","0.562405","0.187634","0.281322","0.374828","0.562508",
"4300000.000000","0.162277","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4400000.000000","0.229839","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4500000.000000","0.201683","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4600000.000000","0.204655","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4700000.000000","0.207649","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4800000.000000","0.210625","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"4900000.000000","0.213608","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5000000.000000","0.216579","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5100000.000000","0.219559","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5200000.000000","0.222546","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5300000.000000","0.225529","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5400000.000000","0.228512","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5500000.000000","0.231480","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5600000.000000","0.234467","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5700000.000000","0.237450","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5800000.000000","0.240425","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"5900000.000000","0.243404","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6000000.000000","0.246387","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6100000.000000","0.249359","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6200000.000000","0.252346","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6300000.000000","0.255329","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6400000.000000","0.258305","0.359058","0.375114","0.187634","0.187614","0.250004","0.375004",
"6500000.000000","0.261288","0.359058","0.375114","0.562481","0.187614","0.250004","0.375004",
"6600000.000000","0.264275","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"6700000.000000","0.267242","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"6800000.000000","0.270229","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"6900000.000000","0.273216","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7000000.000000","0.276188","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7100000.000000","0.279167","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7200000.000000","0.282146","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7300000.000000","0.285130","0.359058","0.375114","0.375134","0.187614","0.250004","0.375004",
"7400000.000000","0.288109","0.361107","0.375114","0.375134","0.187614","0.250004","0.375004",
"7500000.000000","0.291084","0.363735","0.375114","0.375134","0.187614","0.250004","0.375004",
"7600000.000000","0.294075","0.366386","0.375114","0.375134","0.187614","0.250004","0.375004",
"7700000.000000","0.297050","0.369064","0.375114","0.375134","0.187614","0.250004","0.375004",
"7800000.000000","0.300037","0.371769","0.375114","0.375134","0.187614","0.250004","0.375004",
"7900000.000000","0.303009","0.374485","0.375114","0.375134","0.187614","0.250004","0.375004",
"8000000.000000","0.305992","0.377220","0.375114","0.375134","0.187614","0.250004","0.375004",
"8100000.000000","0.308968","0.379978","0.375114","0.375134","0.187614","0.250004","0.375004",
"8200000.000000","0.311951","0.382771","0.375114","0.375134","0.187614","0.250004","0.375004",
"8300000.000000","0.314930","0.385574","0.375114","0.375134","0.562546","0.250004","0.375004",
"8400000.000000","0.317909","0.968006","1.124908","0.375134","0.375114","0.749916","1.125008",
"8500000.000000","0.320896","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"8600000.000000","0.323872","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"8700000.000000","0.326851","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"8800000.000000","0.329830","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"8900000.000000","0.464996","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9000000.000000","0.403713","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9100000.000000","0.406696","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9200000.000000","0.409672","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9300000.000000","0.412655","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9400000.000000","0.415638","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9500000.000000","0.418617","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9600000.000000","0.421597","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9700000.000000","0.424576","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9800000.000000","0.427555","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"9900000.000000","0.430538","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10000000.000000","0.433517","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10100000.000000","0.436497","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10200000.000000","0.439476","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10300000.000000","0.442463","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10400000.000000","0.445435","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10500000.000000","0.448414","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10600000.000000","0.451401","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10700000.000000","0.454380","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10800000.000000","0.457359","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"10900000.000000","0.460339","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11000000.000000","0.463322","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11100000.000000","0.466301","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11200000.000000","0.469280","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11300000.000000","0.472263","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11400000.000000","0.475239","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11500000.000000","0.478218","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11600000.000000","0.481201","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11700000.000000","0.484180","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11800000.000000","0.487167","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"11900000.000000","0.490143","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12000000.000000","0.493122","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12100000.000000","0.496105","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12200000.000000","0.499088","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12300000.000000","0.502064","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12400000.000000","0.505043","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12500000.000000","0.508022","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12600000.000000","0.511002","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12700000.000000","0.513988","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12800000.000000","0.516964","0.718002","0.750114","0.375134","0.375114","0.500004","0.750004",
"12900000.000000","0.519943","0.718002","0.750114","1.125053","0.375114","0.500004","0.750004",
"13000000.000000","0.522926","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13100000.000000","0.525913","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13200000.000000","0.528885","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13300000.000000","0.531864","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13400000.000000","0.534847","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13500000.000000","0.537827","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13600000.000000","0.540810","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13700000.000000","0.543789","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13800000.000000","0.546768","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"13900000.000000","0.549747","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14000000.000000","0.552734","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14100000.000000","0.555706","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14200000.000000","0.558685","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14300000.000000","0.561676","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14400000.000000","0.564648","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14500000.000000","0.567627","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14600000.000000","0.570610","0.718002","0.750114","0.750134","0.375114","0.500004","0.750004",
"14700000.000000","0.573589","0.719528","0.750114","0.750134","0.375114","0.500004","0.750004",
"14800000.000000","0.576576","0.722145","0.750114","0.750134","0.375114","0.500004","0.750004",
"14900000.000000","0.579552","0.724766","0.750114","0.750134","0.375114","0.500004","0.750004",
"15000000.000000","0.582531","0.727402","0.750114","0.750134","0.375114","0.500004","0.750004",
"15100000.000000","0.585510","0.730049","0.750114","0.750134","0.375114","0.500004","0.750004",
"15200000.000000","0.588497","0.732708","0.750114","0.750134","0.375114","0.500004","0.750004",
"15300000.000000","0.591473","0.735374","0.750114","0.750134","0.375114","0.500004","0.750004",
"15400000.000000","0.594452","0.738060","0.750114","0.750134","0.375114","0.500004","0.750004",
"15500000.000000","0.597431","0.740746","0.750114","0.750134","0.375114","0.500004","0.750004",
"15600000.000000","0.600410","0.743450","0.750114","0.750134","0.375114","0.500004","0.750004",
"15700000.000000","0.603394","0.746151","0.750114","0.750134","0.375114","0.500004","0.750004",
"15800000.000000","0.606369","0.748859","0.750114","0.750134","0.375114","0.500004","0.750004",
"15900000.000000","0.609360","0.751598","0.750114","0.750134","0.375114","0.500004","0.750004",
"16000000.000000","0.612335","0.754333","0.750114","0.750134","0.375114","0.500004","0.750004",
"16100000.000000","0.615314","0.757084","0.750114","0.750134","0.375114","0.500004","0.750004",
"16200000.000000","0.618294","0.759842","0.750114","0.750134","0.375114","0.500004","0.750004",
"16300000.000000","0.621273","0.762611","0.750114","0.750134","0.375114","0.500004","0.750004",
"16400000.000000","0.624256","0.765392","0.750114","0.750134","0.375114","0.500004","0.750004",
"16500000.000000","0.627239","0.768185","0.750114","0.750134","0.375114","0.500004","0.750004",
"16600000.000000","0.630215","0.770977","0.750114","0.750134","1.125061","0.500004","0.750004",
"16700000.000000","0.633194","0.773792","0.750114","0.750134","0.750114","0.500004","0.750004",
"16800000.000000","0.636173","1.935696","2.249897","0.750134","0.750114","1.499931","2.250008",
"16900000.000000","0.639156","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17000000.000000","0.642139","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17100000.000000","0.645115","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17200000.000000","0.648102","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17300000.000000","0.651077","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17400000.000000","0.654057","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17500000.000000","0.657036","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17600000.000000","0.660019","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17700000.000000","0.662998","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17800000.000000","0.665977","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"17900000.000000","0.668957","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18000000.000000","0.942532","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18100000.000000","0.812847","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18200000.000000","0.815830","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18300000.000000","0.818806","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18400000.000000","0.821785","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18500000.000000","0.824768","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18600000.000000","0.827747","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18700000.000000","0.830727","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18800000.000000","0.833710","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"18900000.000000","0.836685","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19000000.000000","0.839668","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19100000.000000","0.842655","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19200000.000000","0.845627","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19300000.000000","0.848610","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19400000.000000","0.851589","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19500000.000000","0.854568","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19600000.000000","0.857548","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19700000.000000","0.860531","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19800000.000000","0.863510","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"19900000.000000","0.866489","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
"20000000.000000","0.869469","1.435692","1.500114","0.750134","0.750114","1.000004","1.500004",
