"[count]","uHashT",
"0.000000","0.000000",
"1000000.000000","0.039143",
"2000000.000000","0.077076",
"3000000.000000","0.123474",
"4000000.000000","0.153336",
"5000000.000000","0.229836",
"6000000.000000","0.246254",
"7000000.000000","0.276173",
"8000000.000000","0.305996",
"9000000.000000","0.464993",
"10000000.000000","0.433445",
"11000000.000000","0.463223",
"12000000.000000","0.493042",
"13000000.000000","0.522846",
"14000000.000000","0.552605",
"15000000.000000","0.582531",
"16000000.000000","0.612289",
"17000000.000000","0.642136",
"18000000.000000","0.942524",
"19000000.000000","0.839642",
"20000000.000000","0.869461",
"21000000.000000","0.899250",
"22000000.000000","0.929073",
"23000000.000000","0.958828",
"24000000.000000","0.988667",
"25000000.000000","1.018475",
"26000000.000000","1.048271",
"27000000.000000","1.078068",
"28000000.000000","1.107880",
"29000000.000000","1.137672",
"30000000.000000","1.167496",
"31000000.000000","1.197292",
"32000000.000000","1.227074",
"33000000.000000","1.256889",
"34000000.000000","1.286694",
"35000000.000000","1.316490",
"36000000.000000","1.346291",
"37000000.000000","1.912254",
"38000000.000000","1.685989",
"39000000.000000","1.715790",
"40000000.000000","1.745602",
"41000000.000000","1.775406",
"42000000.000000","1.805214",
"43000000.000000","1.835003",
"44000000.000000","1.864811",
"45000000.000000","1.894611",
"46000000.000000","1.924412",
"47000000.000000","1.954216",
"48000000.000000","1.984016",
"49000000.000000","2.013821",
"50000000.000000","2.043633",
"51000000.000000","2.073421",
"52000000.000000","2.103230",
"53000000.000000","2.133034",
"54000000.000000","2.162834",
"55000000.000000","2.192635",
"56000000.000000","2.222439",
"57000000.000000","2.252239",
"58000000.000000","2.282043",
"59000000.000000","2.311844",
"60000000.000000","2.341648",
"61000000.000000","2.371449",
"62000000.000000","2.401253",
"63000000.000000","2.431057",
"64000000.000000","2.460861",
"65000000.000000","2.490662",
"66000000.000000","2.520462",
"67000000.000000","2.550274",
"68000000.000000","2.580070",
"69000000.000000","2.609867",
"70000000.000000","2.639675",
"71000000.000000","2.669472",
"72000000.000000","2.699276",
"73000000.000000","2.729076",
"74000000.000000","2.758884",
"75000000.000000","3.881489",
"76000000.000000","3.387268",
"77000000.000000","3.417072",
"78000000.000000","3.446869",
"79000000.000000","3.476681",
"80000000.000000","3.506474",
"81000000.000000","3.536274",
"82000000.000000","3.566078",
"83000000.000000","3.595882",
"84000000.000000","3.625687",
"85000000.000000","3.655487",
"86000000.000000","3.685287",
"87000000.000000","3.715099",
"88000000.000000","3.744892",
"89000000.000000","3.774696",
"90000000.000000","3.804497",
"91000000.000000","3.834301",
"92000000.000000","3.864101",
"93000000.000000","3.893909",
"94000000.000000","3.923714",
"95000000.000000","3.953510",
"96000000.000000","3.983318",
"97000000.000000","4.013115",
"98000000.000000","4.042919",
"99000000.000000","4.072720",
"100000000.000000","4.102520",
"101000000.000000","4.132332",
"102000000.000000","4.162125",
"103000000.000000","4.191936",
"104000000.000000","4.221737",
"105000000.000000","4.251534",
"106000000.000000","4.281334",
"107000000.000000","4.311142",
"108000000.000000","4.340942",
"109000000.000000","4.370743",
"110000000.000000","4.400543",
"111000000.000000","4.430351",
"112000000.000000","4.460155",
"113000000.000000","4.489952",
"114000000.000000","4.519753",
"115000000.000000","4.549557",
"116000000.000000","4.579357",
"117000000.000000","4.609169",
"118000000.000000","4.638966",
"119000000.000000","4.668770",
"120000000.000000","4.698570",
"121000000.000000","4.728374",
"122000000.000000","4.758171",
"123000000.000000","4.787975",
"124000000.000000","4.817776",
"125000000.000000","4.847580",
"126000000.000000","4.877384",
"127000000.000000","4.907185",
"128000000.000000","4.936989",
"129000000.000000","4.966789",
"130000000.000000","4.996597",
"131000000.000000","5.026394",
"132000000.000000","5.056198",
"133000000.000000","5.086002",
"134000000.000000","5.115810",
"135000000.000000","5.145603",
"136000000.000000","5.175407",
"137000000.000000","5.205208",
"138000000.000000","5.235012",
"139000000.000000","5.264820",
"140000000.000000","5.294617",
"141000000.000000","5.324417",
"142000000.000000","5.354221",
"143000000.000000","5.384022",
"144000000.000000","5.413826",
"145000000.000000","5.443630",
"146000000.000000","5.473431",
"147000000.000000","5.503231",
"148000000.000000","5.533035",
"149000000.000000","5.562843",
"150000000.000000","5.592640",
"151000000.000000","7.880409",
"152000000.000000","6.807270",
"153000000.000000","6.837070",
"154000000.000000","6.866879",
"155000000.000000","6.896675",
"156000000.000000","6.926479",
"157000000.000000","6.956276",
"158000000.000000","6.986080",
"159000000.000000","7.015888",
"160000000.000000","7.045689",
"161000000.000000","7.075489",
"162000000.000000","7.105289",
"163000000.000000","7.135094",
"164000000.000000","7.164894",
"165000000.000000","7.194702",
"166000000.000000","7.224499",
"167000000.000000","7.254303",
"168000000.000000","7.284107",
"169000000.000000","7.313904",
"170000000.000000","7.343708",
"171000000.000000","7.373508",
"172000000.000000","7.403313",
"173000000.000000","7.433117",
"174000000.000000","7.462917",
"175000000.000000","7.492722",
"176000000.000000","7.522522",
"177000000.000000","7.552322",
"178000000.000000","7.582127",
"179000000.000000","7.611927",
"180000000.000000","7.641739",
"181000000.000000","7.671535",
"182000000.000000","7.701336",
"183000000.000000","7.731140",
"184000000.000000","7.760944",
"185000000.000000","7.790745",
"186000000.000000","7.820553",
"187000000.000000","7.850349",
"188000000.000000","7.880157",
"189000000.000000","7.909950",
"190000000.000000","7.939754",
"191000000.000000","7.969559",
"192000000.000000","7.999359",
"193000000.000000","8.029163",
"194000000.000000","8.058968",
"195000000.000000","8.088764",
"196000000.000000","8.118568",
"197000000.000000","8.148373",
"198000000.000000","8.178173",
"199000000.000000","8.207973",
"200000000.000000","8.237782",
