"[count]","iHashT_u8f",
"0.000000","0.000000",
"1000000.000000","0.072124",
"2000000.000000","0.142262",
"3000000.000000","0.095612",
"4000000.000000","0.283089",
"5000000.000000","0.189362",
"6000000.000000","0.189362",
"7000000.000000","0.564224",
"8000000.000000","0.376862",
"9000000.000000","0.376862",
"10000000.000000","0.376862",
"11000000.000000","0.376862",
"12000000.000000","0.376862",
"13000000.000000","1.126675",
"14000000.000000","0.751862",
"15000000.000000","0.751862",
"16000000.000000","0.751862",
"17000000.000000","0.751862",
"18000000.000000","0.751862",
"19000000.000000","0.751862",
"20000000.000000","0.751862",
"21000000.000000","0.751862",
"22000000.000000","0.751862",
"23000000.000000","0.751862",
"24000000.000000","0.751862",
"25000000.000000","0.751862",
"26000000.000000","0.751862",
"27000000.000000","2.251747",
"28000000.000000","1.501862",
"29000000.000000","1.501862",
"30000000.000000","1.501862",
"31000000.000000","1.501862",
"32000000.000000","1.501862",
"33000000.000000","1.501862",
"34000000.000000","1.501862",
"35000000.000000","1.501862",
"36000000.000000","1.501862",
"37000000.000000","1.501862",
"38000000.000000","1.501862",
"39000000.000000","1.501862",
"40000000.000000","1.501862",
"41000000.000000","1.501862",
"42000000.000000","1.501862",
"43000000.000000","1.501862",
"44000000.000000","1.501862",
"45000000.000000","1.501862",
"46000000.000000","1.501862",
"47000000.000000","1.501862",
"48000000.000000","1.501862",
"49000000.000000","1.501862",
"50000000.000000","1.501862",
"51000000.000000","4.501850",
"52000000.000000","3.001862",
"53000000.000000","3.001862",
"54000000.000000","3.001862",
"55000000.000000","3.001862",
"56000000.000000","3.001862",
"57000000.000000","3.001862",
"58000000.000000","3.001862",
"59000000.000000","3.001862",
"60000000.000000","3.001862",
"61000000.000000","3.001862",
"62000000.000000","3.001862",
"63000000.000000","3.001862",
"64000000.000000","3.001862",
"65000000.000000","3.001862",
"66000000.000000","3.001862",
"67000000.000000","3.001862",
"68000000.000000","3.001862",
"69000000.000000","3.001862",
"70000000.000000","3.001862",
"71000000.000000","3.001862",
"72000000.000000","3.001862",
"73000000.000000","3.001862",
"74000000.000000","3.001862",
"75000000.000000","3.001862",
"76000000.000000","3.001862",
"77000000.000000","3.001862",
"78000000.000000","3.001862",
"79000000.000000","3.001862",
"80000000.000000","3.001862",
"81000000.000000","3.001862",
"82000000.000000","3.001862",
"83000000.000000","3.001862",
"84000000.000000","3.001862",
"85000000.000000","3.001862",
"86000000.000000","3.001862",
"87000000.000000","3.001862",
"88000000.000000","3.001862",
"89000000.000000","3.001862",
"90000000.000000","3.001862",
"91000000.000000","3.001862",
"92000000.000000","3.001862",
"93000000.000000","3.001862",
"94000000.000000","3.001862",
"95000000.000000","3.001862",
"96000000.000000","3.001862",
"97000000.000000","3.001862",
"98000000.000000","3.001862",
"99000000.000000","3.001862",
"100000000.000000","3.001862",
"101000000.000000","9.001671",
"102000000.000000","6.001862",
"103000000.000000","6.001862",
"104000000.000000","6.001862",
"105000000.000000","6.001862",
"106000000.000000","6.001862",
"107000000.000000","6.001862",
"108000000.000000","6.001862",
"109000000.000000","6.001862",
"110000000.000000","6.001862",
"111000000.000000","6.001862",
"112000000.000000","6.001862",
"113000000.000000","6.001862",
"114000000.000000","6.001862",
"115000000.000000","6.001862",
"116000000.000000","6.001862",
"117000000.000000","6.001862",
"118000000.000000","6.001862",
"119000000.000000","6.001862",
"120000000.000000","6.001862",
"121000000.000000","6.001862",
"122000000.000000","6.001862",
"123000000.000000","6.001862",
"124000000.000000","6.001862",
"125000000.000000","6.001862",
"126000000.000000","6.001862",
"127000000.000000","6.001862",
"128000000.000000","6.001862",
"129000000.000000","6.001862",
"130000000.000000","6.001862",
"131000000.000000","6.001862",
"132000000.000000","6.001862",
"133000000.000000","6.001862",
"134000000.000000","6.001862",
"135000000.000000","6.001862",
"136000000.000000","6.001862",
"137000000.000000","6.001862",
"138000000.000000","6.001862",
"139000000.000000","6.001862",
"140000000.000000","6.001862",
"141000000.000000","6.001862",
"142000000.000000","6.001862",
"143000000.000000","6.001862",
"144000000.000000","6.001862",
"145000000.000000","6.001862",
"146000000.000000","6.001862",
"147000000.000000","6.001862",
"148000000.000000","6.001862",
"149000000.000000","6.001862",
"150000000.000000","6.001862",
"151000000.000000","6.001862",
"152000000.000000","6.001862",
"153000000.000000","6.001862",
"154000000.000000","6.001862",
"155000000.000000","6.001862",
"156000000.000000","6.001862",
"157000000.000000","6.001862",
"158000000.000000","6.001862",
"159000000.000000","6.001862",
"160000000.000000","6.001862",
"161000000.000000","6.001862",
"162000000.000000","6.001862",
"163000000.000000","6.001862",
"164000000.000000","6.001862",
"165000000.000000","6.001862",
"166000000.000000","6.001862",
"167000000.000000","6.001862",
"168000000.000000","6.001862",
"169000000.000000","6.001862",
"170000000.000000","6.001862",
"171000000.000000","6.001862",
"172000000.000000","6.001862",
"173000000.000000","6.001862",
"174000000.000000","6.001862",
"175000000.000000","6.001862",
"176000000.000000","6.001862",
"177000000.000000","6.001862",
"178000000.000000","6.001862",
"179000000.000000","6.001862",
"180000000.000000","6.001862",
"181000000.000000","6.001862",
"182000000.000000","6.001862",
"183000000.000000","6.001862",
"184000000.000000","6.001862",
"185000000.000000","6.001862",
"186000000.000000","6.001862",
"187000000.000000","6.001862",
"188000000.000000","6.001862",
"189000000.000000","6.001862",
"190000000.000000","6.001862",
"191000000.000000","6.001862",
"192000000.000000","6.001862",
"193000000.000000","6.001862",
"194000000.000000","18.001774",
"195000000.000000","12.001862",
"196000000.000000","12.001862",
"197000000.000000","12.001862",
"198000000.000000","12.001862",
"199000000.000000","12.001862",
"200000000.000000","12.001862",
